Проигрыватель винила avid diva 1,250 000   ₽,"Электрозаводская, 300	 м",https://www.avito.ru/moskva/audio_i_video/proigryvatel_vinila_avid_diva_1_579969262
Проигрыватель винила Pro-Ject 1-Xpression Carbon,28 000   ₽,Бульвар Дмитрия Донского,https://www.avito.ru/moskva/audio_i_video/proigryvatel_vinila_pro-ject_1-xpression_carbon_1475595007
Проигрыватель винила Rega Planar 1,17 000   ₽,"Хорошевская, 100	 м",https://www.avito.ru/moskva/audio_i_video/proigryvatel_vinila_rega_planar_1_1877132831
Проигрыватель пластинок 1-эпу-73с,2 000   ₽,"Октябрьское поле, 1,1	 км",https://www.avito.ru/moskva/audio_i_video/proigryvatel_plastinok_1-epu-73s_1790208598
Проигрыватель пластинок LP music hall mmf-5.1,67 000   ₽,"Белокаменная, 1,1	 км",https://www.avito.ru/moskva/audio_i_video/proigryvatel_plastinok_lp_music_hall_mmf-5.1_1885018239
Проигрыватель винила Rega Planar 1,18 000   ₽,"Улица 1905 года, 300	 м",https://www.avito.ru/moskva/audio_i_video/proigryvatel_vinila_rega_planar_1_1825534428
Проигрыватель виниловых пластинок Telefunken RS -1,8 500   ₽,"Аэропорт, 100	 м",https://www.avito.ru/moskva/audio_i_video/proigryvatel_vinilovyh_plastinok_telefunken_rs_-1_1614924346
Эксклюзивный проигрыватель винила Silvertone N1,160 000   ₽,"Коломенская, 1,2	 км",https://www.avito.ru/moskva/audio_i_video/eksklyuzivnyy_proigryvatel_vinila_silvertone_n1_1109664191
Проигрыватель винила Pro ject rpm 1.3,20 000   ₽,"Первомайская, 900	 м",https://www.avito.ru/moskva/audio_i_video/proigryvatel_vinila_pro_ject_rpm_1.3_1796876600
Проигрыватель винила Pro-Ject 1 Xpression III,30 000   ₽,"Белорусская, 900	 м",https://www.avito.ru/moskva/audio_i_video/proigryvatel_vinila_pro-ject_1_xpression_iii_1782819086
Проигрыватель винила,19 000   ₽,Новые Черемушки,https://www.avito.ru/moskva/audio_i_video/proigryvatel_vinila_1808614831
Проигрыватель винила thorens td 170-1,15 000   ₽,"Хорошево, 1,9	 км",https://www.avito.ru/moskva/audio_i_video/proigryvatel_vinila_thorens_td_170-1_1851777576
"Проигрыватель винила Diatone LT-1 тангенс, DD",225 000   ₽,"Академическая, 100	 м",https://www.avito.ru/moskva/audio_i_video/proigryvatel_vinila_diatone_lt-1_tangens_dd_797220523
Проигрыватель винила Technics SL-1200 MK3D №1,49 000   ₽,"Кузьминки, 100	 м",https://www.avito.ru/moskva/audio_i_video/proigryvatel_vinila_technics_sl-1200_mk3d_1_1876406420
Проигрыватель винила СССР Электроника Б1-011 супер,15 000   ₽,"Новые Черемушки, 1,1	 км",https://www.avito.ru/moskva/audio_i_video/proigryvatel_vinila_sssr_elektronika_b1-011_super_1828750024
